"H4"||"C"||3||157|||208|||51||0|0|0|0|0|0|84|100|100|76|100|100|46|77|95|23|48|75|24|67.7|85||0|||2.4|||14.6|||33.9|||16.8||0|14.3|50|||||||10|18|27||||0|0.25|0.5||||1.4|1.5|1.6|||||1.57|||4|10|42|0.06|0.09|0.13|||||21.7|||12.5|||41||0|1.5|2.9|13|18|25|2|5|9|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.1|0.8|2.3|3.1|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030042"|"65018103"
"H2"||"B"||2||5|||71|||66||0|0|0|0|0|0|82|88|100|76|84|100|68|80|100|53|72|95|0|26.1|45||1.7|||2.2|||5|||9.4|||7.8||0|28.9|45|||||||35|45|55||||0|0.25|0.5||||1.25|1.38|1.5|||||1.45|||4|9|14|0.1|0.13|0.15|||||34.9|||22.2|||41||0|1.5|2.9|39|48|57|16|21|26|5|15|29|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.1|6.6|2.6|3.8|5|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030056"|"65018154"
"H1"||"A"||1||0|||5|||5||0|0|0|0|0|0|84|86|100|76|79|100|46|56|95|23|28|75|24|65.1|85||4.3|||13.9|||17.3|||19.3|||10.3||0|18.9|50|||||||6|16|25||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.05|0.08|0.11|||||19.1|||11.2|||35||0|1.5|2.9|12|21|30|1|6|11|0|0|6|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|6|9.2|2.1|4.5|6.9|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030056"|"65018153"
"H3"||"C"||3||71|||107|||36||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.7|1.4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030056"|"65018155"
"H4"||"R"||4||107|||132|||25||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.21|0.42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22030056"|"65018156"
"H3"||"B"||3||137|||157|||20||0|0|0|0|0|0|82|94|100|76|91|100|61|87|100|27|68|80|20|34.4|80||3.1|||4.3|||5.9|||10.8|||10.3||0|37.6|50|||||||10|28|30||||0|0.25|0.5||||1.4|1.5|1.6|||||1.57|||4|10|42|0.08|0.13|0.18|||||30|||17|||39||0|1.5|2.9|13|26|27|2|9|10|0|3|6|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.1|0.8|2.3|3.1|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030055"|"65018151"
"H4"||"C"||3||157|||208|||51||0|0|0|0|0|0|84|100|100|76|100|100|46|77|95|23|48|75|24|67.7|85||0|||2.4|||14.6|||33.9|||16.8||0|14.3|50|||||||10|18|27||||0|0.25|0.5||||1.4|1.5|1.6|||||1.57|||4|10|42|0.06|0.09|0.13|||||21.7|||12.5|||41||0|1.5|2.9|13|18|25|2|5|9|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.1|0.8|2.3|3.1|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030055"|"65018152"
"H2"||"B"||2||19|||137|||118||0|0|0|0|0|0|82|94|100|76|91|100|68|87|100|53|72|95|0|26.1|45||1.7|||2.2|||5|||9.4|||7.8||0|28.9|45|||||||35|45|55||||0|0.25|0.5||||1.25|1.38|1.5|||||1.45|||4|9|14|0.07|0.13|0.19|||||36.5|||23.3|||43||0|1.5|2.9|31|38|45|13|17|21|3|11|22|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.1|6.6|2.6|3.8|5|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030055"|"65018150"
"H1"||"A"||1||0|||19|||19||0|0|0|0|0|0|84|90|100|76|84|100|46|55|95|23|30|75|24|65.1|85||4.3|||13.9|||17.3|||19.3|||10.3||0|18.9|50|||||||6|16|25||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.05|0.08|0.11|||||19.9|||11.6|||36||0|1.5|2.9|10|17|24|0|4|9|0|0|4|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.9|6|9.2|2.1|4.5|6.9|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030055"|"65018149"
"H2"||"B"||2||5|||71|||66||0|0|0|0|0|0|82|88|100|76|84|100|68|80|100|53|72|95|0|26.1|45||1.7|||2.2|||5|||9.4|||7.8||0|28.9|45|||||||35|45|55||||0|0.25|0.5||||1.25|1.38|1.5|||||1.45|||4|9|14|0.1|0.13|0.15|||||34.9|||22.2|||41||0|1.5|2.9|39|48|57|16|21|26|5|15|29|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.1|6.6|2.6|3.8|5|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22030043"|"65018105"
