2321|"498884"|"122402"|"29775465"
2321|"498883"|"122402"|"29775466"
2321|"498882"|"122402"|"29775467"
2321|"498881"|"122402"|"29775468"
2321|"498880"|"122402"|"29775469"
2321|"498879"|"122402"|"29775470"
|"498878"|"122402"|"29775389"
2321|"498877"|"122402"|"29775463"
2321|"498876"|"122402"|"29775464"
3|"498884"|"122401"|"29775457"
3|"498883"|"122401"|"29775458"
3|"498882"|"122401"|"29775459"
3|"498881"|"122401"|"29775460"
3|"498880"|"122401"|"29775461"
3|"498879"|"122401"|"29775462"
|"498878"|"122401"|"29775388"
3|"498877"|"122401"|"29775455"
3|"498876"|"122401"|"29775456"
6740|"498884"|"122393"|"29775561"
6740|"498883"|"122393"|"29775562"
6740|"498882"|"122393"|"29775563"
6740|"498881"|"122393"|"29775564"
6740|"498880"|"122393"|"29775565"
6740|"498879"|"122393"|"29775566"
83|"498878"|"122393"|"29775401"
6657|"498877"|"122393"|"29775559"
6740|"498876"|"122393"|"29775560"
1338|"498884"|"122348"|"29775545"
1338|"498883"|"122348"|"29775546"
1338|"498882"|"122348"|"29775547"
1338|"498881"|"122348"|"29775548"
1338|"498880"|"122348"|"29775549"
1338|"498879"|"122348"|"29775550"
657|"498878"|"122348"|"29775399"
681|"498877"|"122348"|"29775543"
1338|"498876"|"122348"|"29775544"
32318|"498884"|"122347"|"29775537"
32318|"498883"|"122347"|"29775538"
32318|"498882"|"122347"|"29775539"
32318|"498881"|"122347"|"29775540"
32318|"498880"|"122347"|"29775541"
32318|"498879"|"122347"|"29775542"
1188|"498878"|"122347"|"29775398"
31130|"498877"|"122347"|"29775535"
32318|"498876"|"122347"|"29775536"
18019|"498884"|"122345"|"29775681"
18019|"498883"|"122345"|"29775682"
18019|"498882"|"122345"|"29775683"
18019|"498881"|"122345"|"29775684"
18019|"498880"|"122345"|"29775685"
18019|"498879"|"122345"|"29775686"
1249|"498878"|"122345"|"29775416"
16770|"498877"|"122345"|"29775679"
18019|"498876"|"122345"|"29775680"
21761|"498884"|"122343"|"29775673"
21761|"498883"|"122343"|"29775674"
21761|"498882"|"122343"|"29775675"
21761|"498881"|"122343"|"29775676"
21761|"498880"|"122343"|"29775677"
21761|"498879"|"122343"|"29775678"
360|"498878"|"122343"|"29775415"
21404|"498877"|"122343"|"29775671"
21761|"498876"|"122343"|"29775672"
3217|"498884"|"122329"|"29775529"
3217|"498883"|"122329"|"29775530"
3217|"498882"|"122329"|"29775531"
3217|"498881"|"122329"|"29775532"
3217|"498880"|"122329"|"29775533"
3217|"498879"|"122329"|"29775534"
1038|"498878"|"122329"|"29775397"
2179|"498877"|"122329"|"29775527"
3217|"498876"|"122329"|"29775528"
879|"498884"|"122320"|"29775633"
879|"498883"|"122320"|"29775634"
879|"498882"|"122320"|"29775635"
879|"498881"|"122320"|"29775636"
879|"498880"|"122320"|"29775637"
879|"498879"|"122320"|"29775638"
505|"498878"|"122320"|"29775410"
374|"498877"|"122320"|"29775631"
879|"498876"|"122320"|"29775632"
