"kaolinitic"|"22030037"|"17347268"
"not used"|"22030034"|"17347247"
"kaolinitic"|"22030041"|"17347276"
"kaolinitic"|"22030042"|"17347277"
"kaolinitic"|"22030056"|"17347279"
"kaolinitic"|"22030055"|"17347278"
"kaolinitic"|"22030043"|"17347248"
"kaolinitic"|"22030044"|"17347249"
"kaolinitic"|"22030046"|"17347250"
"mixed"|"22030005"|"17347253"
"mixed"|"22030006"|"17347254"
"not used"|"22030021"|"17347235"
